lr=0.01 batch_size=32
poch 0, test accuracy: 0.2992992992992993
epoch 0, loss: 2.0445101261138916
epoch 5, test accuracy: 0.6176176176176176
epoch 5, loss: 0.5746836066246033
epoch 10, test accuracy: 0.7047047047047047
epoch 10, loss: 0.3119460642337799
epoch 15, test accuracy: 0.7257257257257257
epoch 15, loss: 0.6341022253036499
epoch 20, test accuracy: 0.8551885218551886
epoch 20, loss: 0.06142521649599075
epoch 25, test accuracy: 0.8655321988655322
epoch 25, loss: 0.01815997064113617
epoch 30, test accuracy: 0.8918918918918919
epoch 30, loss: 0.0007323408499360085
epoch 35, test accuracy: 0.8862195528862196
epoch 35, loss: 0.0016304206801578403
epoch 40, test accuracy: 0.7831164497831165
epoch 40, loss: 0.13263021409511566
epoch 45, test accuracy: 0.8838838838838838
epoch 45, loss: 0.00044476063339971006
epoch 50, test accuracy: 0.8895562228895563
epoch 50, loss: 4.375322168925777e-05
epoch 55, test accuracy: 0.8878878878878879
epoch 55, loss: 0.00013183418195694685
epoch 60, test accuracy: 0.8848848848848849
epoch 60, loss: 0.00010611289326334372
epoch 65, test accuracy: 0.8902235568902236
epoch 65, loss: 4.4280182919465005e-05
epoch 70, test accuracy: 0.8898898898898899
epoch 70, loss: 0.00016289604536723346
epoch 75, test accuracy: 0.8878878878878879
epoch 75, loss: 1.3533225683204364e-05
epoch 80, test accuracy: 0.8842175508842175
epoch 80, loss: 5.410367884906009e-05
epoch 85, test accuracy: 0.8875542208875542
epoch 85, loss: 7.638189708814025e-05
epoch 90, test accuracy: 0.8875542208875542
epoch 90, loss: 0.00013999063230585307
epoch 95, test accuracy: 0.8878878878878879
epoch 95, loss: 5.1834023906849325e-05
epoch 100, test accuracy: 0.8875542208875542
epoch 100, loss: 6.030512395227561e-06
epoch 105, test accuracy: 0.8865532198865532
epoch 105, loss: 3.2786829251563177e-05
epoch 110, test accuracy: 0.8898898898898899
epoch 110, loss: 3.925022610928863e-05
epoch 115, test accuracy: 0.8898898898898899
epoch 115, loss: 2.1091518647153862e-05
epoch 120, test accuracy: 0.8882215548882215
epoch 120, loss: 1.8252147128805518e-05
epoch 125, test accuracy: 0.8888888888888888
epoch 125, loss: 5.2396779210539535e-05
epoch 130, test accuracy: 0.8892225558892226
epoch 130, loss: 2.879660314647481e-05
epoch 135, test accuracy: 0.8882215548882215
epoch 135, loss: 1.3294719792611431e-05
