lr=0.01,batch_size=32
epoch 0, test accuracy: 0.12746079412746078
epoch 0, loss: 2.2835581302642822
epoch 5, test accuracy: 0.4934934934934935
epoch 5, loss: 1.7965106964111328
epoch 10, test accuracy: 0.6246246246246246
epoch 10, loss: 0.8953949213027954
epoch 15, test accuracy: 0.7300633967300634
epoch 15, loss: 0.3194490075111389
epoch 20, test accuracy: 0.7560894227560894
epoch 20, loss: 0.16859214007854462
epoch 25, test accuracy: 0.7374040707374041
epoch 25, loss: 0.38026440143585205
epoch 30, test accuracy: 0.8024691358024691
epoch 30, loss: 0.13401101529598236
epoch 35, test accuracy: 0.8311644978311645
epoch 35, loss: 0.06434381008148193
epoch 40, test accuracy: 0.8198198198198198
epoch 40, loss: 0.046277549117803574
epoch 45, test accuracy: 0.8224891558224892
epoch 45, loss: 0.027905510738492012
epoch 50, test accuracy: 0.8398398398398398
epoch 50, loss: 0.022726386785507202
epoch 55, test accuracy: 0.8461795128461795
epoch 55, loss: 0.0025266939774155617
epoch 60, test accuracy: 0.8525191858525192
epoch 60, loss: 6.493293312814785e-06
epoch 65, test accuracy: 0.8555221888555222
epoch 65, loss: 8.603210881119594e-05
epoch 70, test accuracy: 0.8558558558558559
epoch 70, loss: 0.00040045767673291266
epoch 75, test accuracy: 0.8538538538538538
epoch 75, loss: 0.0003098419401794672
epoch 80, test accuracy: 0.8581915248581915
epoch 80, loss: 0.0002569656353443861
epoch 85, test accuracy: 0.8571905238571905
epoch 85, loss: 0.00022697380336467177
epoch 90, test accuracy: 0.8558558558558559
epoch 90, loss: 5.5999611504375935e-05
epoch 95, test accuracy: 0.8558558558558559
epoch 95, loss: 0.00013243821740616113
epoch 100, test accuracy: 0.8558558558558559
epoch 100, loss: 7.889051630627364e-05
epoch 105, test accuracy: 0.8571905238571905
epoch 105, loss: 6.533732812386006e-05
epoch 110, test accuracy: 0.8591925258591925
epoch 110, loss: 5.9341531596146524e-05
epoch 115, test accuracy: 0.8605271938605272
epoch 115, loss: 0.0004160320677328855
epoch 120, test accuracy: 0.8615281948615282
epoch 120, loss: 2.5396533601451665e-05
epoch 125, test accuracy: 0.8628628628628628
epoch 125, loss: 1.0539144568610936e-05
epoch 130, test accuracy: 0.8595261928595261
epoch 130, loss: 5.7289689721073955e-06
epoch 135, test accuracy: 0.8605271938605272
epoch 135, loss: 1.2698602404270787e-05
epoch 140, test accuracy: 0.8611945278611945
epoch 140, loss: 1.0532261512707919e-05
epoch 145, test accuracy: 0.8628628628628628
epoch 145, loss: 5.517344470717944e-05
epoch 150, test accuracy: 0.8625291958625292
epoch 150, loss: 0.00019897044694516808
epoch 155, test accuracy: 0.8588588588588588
epoch 155, loss: 1.8308328435523435e-05
epoch 160, test accuracy: 0.8611945278611945
epoch 160, loss: 3.0450895792455412e-05
epoch 165, test accuracy: 0.8608608608608609
epoch 165, loss: 3.559565084287897e-05
epoch 170, test accuracy: 0.8581915248581915
epoch 170, loss: 2.7987287467112765e-05
epoch 175, test accuracy: 0.8595261928595261
epoch 175, loss: 1.3407133337750565e-05
epoch 180, test accuracy: 0.8611945278611945
epoch 180, loss: 0.0005949116894043982
epoch 185, test accuracy: 0.8595261928595261
epoch 185, loss: 7.717887638136744e-05
epoch 190, test accuracy: 0.8615281948615282
epoch 190, loss: 3.023457247763872e-05
epoch 195, test accuracy: 0.8601935268601936
epoch 195, loss: 1.1745023584808223e-05
epoch 200, test accuracy: 0.8601935268601936
epoch 200, loss: 3.849665063171415e-06
epoch 205, test accuracy: 0.8595261928595261
epoch 205, loss: 8.926651935325935e-05
epoch 210, test accuracy: 0.8608608608608609
epoch 210, loss: 4.319520940043731e-06
epoch 215, test accuracy: 0.8605271938605272
epoch 215, loss: 9.438103916181717e-06
epoch 220, test accuracy: 0.8608608608608609
epoch 220, loss: 1.395446247443033e-06
epoch 225, test accuracy: 0.8595261928595261
epoch 225, loss: 1.7642169041209854e-05
epoch 230, test accuracy: 0.8615281948615282
epoch 230, loss: 7.042813376756385e-05
epoch 235, test accuracy: 0.8608608608608609
epoch 235, loss: 1.528568463982083e-05
epoch 240, test accuracy: 0.8605271938605272
epoch 240, loss: 0.00030644607613794506
epoch 245, test accuracy: 0.8591925258591925
epoch 245, loss: 6.633547855017241e-06
epoch 250, test accuracy: 0.8598598598598599
epoch 250, loss: 5.890327656743466e-07
epoch 255, test accuracy: 0.8595261928595261
epoch 255, loss: 7.284106686711311e-05
epoch 260, test accuracy: 0.8611945278611945
epoch 260, loss: 1.5853178410907276e-05
epoch 265, test accuracy: 0.8628628628628628
epoch 265, loss: 1.533523936814163e-05
epoch 270, test accuracy: 0.8605271938605272
epoch 270, loss: 0.00011527858441695571



lr=0.002
epoch 0, test accuracy: 0.18585251918585252
epoch 0, loss: 2.2966771125793457
epoch 5, test accuracy: 0.3123123123123123
epoch 5, loss: 2.161287307739258
epoch 10, test accuracy: 0.42709376042709374
epoch 10, loss: 1.7834264039993286
epoch 15, test accuracy: 0.46646646646646645
epoch 15, loss: 1.2841311693191528
epoch 20, test accuracy: 0.4794794794794795
epoch 20, loss: 1.610530972480774
epoch 25, test accuracy: 0.5061728395061729
epoch 25, loss: 1.0393590927124023
epoch 30, test accuracy: 0.6012679346012679
epoch 30, loss: 0.9119612574577332
epoch 35, test accuracy: 0.6072739406072739
epoch 35, loss: 1.3343820571899414
epoch 40, test accuracy: 0.6716716716716716
epoch 40, loss: 0.5371810793876648
epoch 45, test accuracy: 0.6569903236569903
epoch 45, loss: 1.0117161273956299
epoch 50, test accuracy: 0.7173840507173841
epoch 50, loss: 1.163687825202942
epoch 55, test accuracy: 0.7307307307307307
epoch 55, loss: 0.7753262519836426
epoch 60, test accuracy: 0.7570904237570905
epoch 60, loss: 0.24995988607406616
epoch 65, test accuracy: 0.7477477477477478
epoch 65, loss: 0.3053588271141052
epoch 70, test accuracy: 0.7260593927260593
epoch 70, loss: 0.43872207403182983
epoch 75, test accuracy: 0.7851184517851184
epoch 75, loss: 0.20711608231067657
epoch 80, test accuracy: 0.7954621287954621
